week_start,total_events_country,conflict_count,avg_goldstein,avg_tone,goldstein_volatility,total_mentions_conflict,days_covered,week_label,google_trends_score
2024-01-01,15410,3736,-9.896011777301927,-5.633314509945263,0.2835756466706636,44812.0,7,2024-W01,6.0
2024-01-08,18503,2599,-9.869949980761831,-4.814511048804654,0.296270826143884,25023.0,7,2024-W02,6.0
2024-01-15,19448,2418,-9.879239040529363,-4.711809062666584,0.299798442727309,24811.0,7,2024-W03,7.0
2024-01-22,20337,3036,-9.888339920948617,-5.3735425608721314,0.2999984806120672,36421.0,7,2024-W04,6.0
2024-01-29,18946,2500,-9.8748,-4.94684550456971,0.30620657240822624,16166.0,7,2024-W05,7.0
2024-02-05,22962,2781,-9.850233728874505,-5.192713833612935,0.3322434901063809,32663.0,7,2024-W06,7.0
2024-02-12,27343,3328,-9.8671875,-4.847519676901525,0.31316993114116937,28850.0,7,2024-W07,8.0
2024-02-19,35733,4062,-9.83025603151157,-4.632046492055196,0.3342515385804454,42363.0,7,2024-W08,7.0
2024-02-26,28883,3032,-9.867249340369392,-4.578320850261621,0.3116128367794785,28444.0,7,2024-W09,6.0
2024-03-04,23145,2894,-9.868002764340014,-5.3791431815677075,0.31555867092127254,22192.0,7,2024-W10,6.0
2024-03-11,23126,3282,-9.853747714808044,-5.041069900080749,0.3180052997224858,45547.0,7,2024-W11,7.0
2024-03-18,22327,3434,-9.876237623762377,-5.555212010537642,0.29996649492433974,43673.0,7,2024-W12,6.0
2024-03-25,18681,3191,-9.8827953619555,-5.551706424622212,0.2931642661551171,29302.0,7,2024-W13,6.0
2024-04-01,18737,2962,-9.868332207967589,-5.67425037195489,0.30841488891416585,34839.0,7,2024-W14,6.0
2024-04-08,19573,2522,-9.85904044409199,-5.075392126603259,0.31750394893002126,28210.0,7,2024-W15,6.0
2024-04-15,23125,2960,-9.885810810810812,-4.696346692318869,0.28621833885540204,38633.0,7,2024-W16,6.0
2024-04-22,22643,2879,-9.866273011462313,-4.96925172784977,0.30430950867812423,37258.0,7,2024-W17,6.0
2024-04-29,16729,2596,-9.849191063174114,-5.073979069289366,0.3352785062833492,22362.0,7,2024-W18,6.0
2024-05-06,16694,3088,-9.823996113989637,-5.083819321991728,0.37173887611600775,32737.0,7,2024-W19,8.0
2024-05-13,21204,3921,-9.833843407294058,-4.899280906127177,0.35463367843541355,46178.0,7,2024-W20,7.0
2024-05-20,16665,2890,-9.832698961937716,-5.051776562676632,0.33764600990044513,23145.0,7,2024-W21,7.0
2024-05-27,20140,2472,-9.85598705501618,-4.350512457240161,0.3235848570107536,21748.0,7,2024-W22,7.0
2024-06-03,18130,2173,-9.856879889553612,-4.525863591357783,0.3250510978751219,21280.0,7,2024-W23,7.0
2024-06-10,26173,2176,-9.845358455882353,-4.664641204435693,0.3425483406808119,19819.0,7,2024-W24,7.0
2024-06-17,16549,2240,-9.8640625,-5.263499703256414,0.320755188091801,27388.0,7,2024-W25,7.0
2024-06-24,15800,1977,-9.84951947395043,-5.798320435795885,0.351026576831197,15484.0,7,2024-W26,6.0
2024-07-01,15474,1889,-9.856008470089995,-5.378166710869615,0.32165348751399303,18571.0,7,2024-W27,6.0
2024-07-08,24408,2753,-9.88794042862332,-5.096344342180986,0.2854130665246153,34160.0,7,2024-W28,6.0
2024-07-15,16953,2177,-9.846577859439595,-4.872975334428068,0.37423758590556233,19530.0,7,2024-W29,6.0
2024-07-22,13545,1701,-9.854203409758965,-5.304193761351534,0.32480079471453044,11561.0,7,2024-W30,5.0
2024-07-29,10731,1660,-9.846084337349398,-5.45859213033458,0.3467097983375641,14034.0,7,2024-W31,9.0
2024-08-05,13515,3078,-9.8409681611436,-5.572084997361907,0.30668211716353444,36115.0,7,2024-W32,13.0
2024-08-12,18544,3741,-9.806201550387597,-4.718883591461803,0.3229195542406266,51590.0,7,2024-W33,11.0
2024-08-19,23052,3582,-9.835147962032384,-5.1406124228842724,0.31325768089290895,49733.0,7,2024-W34,10.0
2024-08-26,18905,3707,-9.86134340437011,-5.601827977553086,0.30741445216244623,47624.0,7,2024-W35,8.0
2024-09-02,18516,2713,-9.876889052709178,-5.133493686691261,0.2850638698323588,38111.0,7,2024-W36,8.0
2024-09-09,19786,2577,-9.863407062475748,-5.076332333351868,0.31085391682490016,29213.0,7,2024-W37,8.0
2024-09-16,14510,1988,-9.861921529175051,-5.268477188035646,0.3463429328798094,14987.0,7,2024-W38,7.0
2024-09-23,20645,2256,-9.86790780141844,-5.043377000375647,0.32325706946494837,24646.0,7,2024-W39,7.0
2024-09-30,11633,1936,-9.832902892561984,-5.4357531736809905,0.33886425730743236,19146.0,7,2024-W40,7.0
2024-10-07,14729,1986,-9.855488418932527,-5.046262152589056,0.32255683211083624,15076.0,7,2024-W41,6.0
2024-10-14,15674,1474,-9.846336499321573,-4.504328037506145,0.32380672063144955,11133.0,7,2024-W42,6.0
2024-10-21,15290,1753,-9.867370222475756,-4.9862655014462804,0.2987928306792257,19677.0,7,2024-W43,7.0
2024-10-28,13660,1740,-9.831609195402299,-4.591570233673574,0.3371407480366338,17546.0,7,2024-W44,9.0
2024-11-04,16582,1946,-9.887461459403905,-4.778182126193604,0.29024770877135425,18229.0,7,2024-W45,7.0
2024-11-11,17083,2131,-9.866494603472548,-4.815127805172702,0.31231959276117627,34998.0,7,2024-W46,13.0
2024-11-18,23199,3926,-9.92116658176261,-4.803713274958848,0.24642723867947605,66190.0,7,2024-W47,9.0
2024-11-25,15759,2324,-9.889629948364888,-4.983498573203253,0.2904270326276936,27800.0,7,2024-W48,7.0
2024-12-02,16724,1520,-9.803289473684211,-4.626598432072561,0.37374635975432663,10924.0,7,2024-W49,6.0
2024-12-09,13427,1734,-9.846597462514417,-5.022996627318,0.3407291026968518,16494.0,7,2024-W50,6.0
2024-12-16,14818,2168,-9.882149446494465,-5.880555343827312,0.3004681653736644,26939.0,7,2024-W51,6.0
2024-12-23,11596,2323,-9.848902281532501,-5.431725402698774,0.34286419669025403,32340.0,7,2024-W52,6.0
2024-12-30,10115,1761,-9.851504826802953,-5.407276517691951,0.33406799815525706,19133.0,7,2025-W01,6.0
